Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
21,62,20,16,14,18,10,16
37,66,20,20,10,-8,4,10
3,18,12,0,-14,-16,-2,-20
-5,50,48,20,-4,-46,18,12
15,8,8,20,2,-68,10,-16
-1,22,-2,-4,-22,-70,-2,-14
15,16,24,-8,-16,-108,20,4
-29,20,10,18,6,-112,-4,6
-11,18,24,-4,12,-104,22,96
43,38,48,20,44,-110,12,2
-1,10,4,0,-24,-148,-26,-34
43,116,58,60,22,-82,30,14
29,58,46,48,22,-72,10,4
33,56,60,66,48,-68,16,12
-37,-12,8,-6,4,-64,-8,-24
-5,-16,8,16,6,-44,-2,-34
